Date;Open;High;Low;Close;Adj Close;Volume
Sep 5, 2025;347.98;355.87;346.23;347.75;347.75;43,314,583
Sep 4, 2025;336.15;338.89;331.48;338.53;338.53;60,502,800
Sep 3, 2025;335.20;343.33;328.51;334.09;334.09;88,733,300
Sep 2, 2025;328.23;333.33;325.60;329.36;329.36;58,392,000
Aug 29, 2025;347.23;348.75;331.70;333.87;333.87;81,145,700
Aug 28, 2025;350.91;353.55;340.26;345.98;345.98;67,903,200
Aug 27, 2025;351.94;355.39;349.16;349.60;349.60;65,519,000
Aug 26, 2025;344.93;351.90;343.72;351.67;351.67;76,651,600
Aug 25, 2025;338.90;349.53;335.03;346.60;346.60;86,670,000
Aug 22, 2025;321.66;340.25;319.69;340.01;340.01;94,016,300
Aug 21, 2025;322.08;324.90;318.68;320.11;320.11;55,744,400
Aug 20, 2025;329.22;331.37;314.60;323.90;323.90;77,481,800
Aug 19, 2025;335.79;340.55;327.85;329.31;329.31;75,956,000
Aug 18, 2025;329.62;336.27;329.59;335.16;335.16;56,956,600
Aug 15, 2025;337.66;339.30;327.02;330.56;330.56;74,319,800
Aug 14, 2025;335.76;340.47;330.40;335.58;335.58;75,000,700
Aug 13, 2025;341.50;348.98;338.20;339.38;339.38;67,838,900
Aug 12, 2025;345.00;345.26;332.94;340.84;340.84;80,522,100
Aug 11, 2025;335.00;346.64;334.15;339.03;339.03;105,320,200
Aug 8, 2025;321.43;335.15;320.98;329.65;329.65;91,200,300
Aug 7, 2025;319.79;322.40;316.16;322.27;322.27;66,658,700
Aug 6, 2025;307.89;320.47;306.93;319.91;319.91;78,523,600
Aug 5, 2025;308.95;312.45;305.50;308.72;308.72;57,961,300
Aug 4, 2025;309.08;312.12;303.00;309.26;309.26;78,683,900
Aug 1, 2025;306.21;309.31;297.82;302.63;302.63;89,121,400
Jul 31, 2025;319.61;321.37;306.10;308.27;308.27;85,270,900
Jul 30, 2025;322.18;324.45;311.62;319.04;319.04;83,931,900
Jul 29, 2025;325.55;326.25;318.25;321.20;321.20;87,358,900
Jul 28, 2025;318.45;330.49;315.69;325.59;325.59;112,673,800
Jul 25, 2025;308.74;323.63;308.01;316.06;316.06;148,227,000
Jul 24, 2025;310.00;310.15;300.41;305.30;305.30;156,966,000
Jul 23, 2025;330.90;336.20;328.67;332.56;332.56;92,553,800
Jul 22, 2025;329.74;335.41;321.55;332.11;332.11;77,370,400
Jul 21, 2025;334.40;338.00;326.88;328.49;328.49;75,768,800
Jul 18, 2025;321.66;330.90;321.42;329.65;329.65;94,255,000
Jul 17, 2025;323.15;324.34;317.06;319.41;319.41;73,922,900
Jul 16, 2025;312.80;323.50;312.62;321.67;321.67;97,284,800
Jul 15, 2025;319.68;321.20;310.50;310.78;310.78;77,556,300
Jul 14, 2025;317.73;322.60;312.67;316.90;316.90;78,043,400
Jul 11, 2025;307.89;314.09;305.65;313.51;313.51;79,236,400
Jul 10, 2025;300.05;310.48;300.00;309.87;309.87;104,365,300
Jul 9, 2025;297.55;300.15;293.55;295.88;295.88;75,586,800
Jul 8, 2025;297.00;304.05;294.35;297.81;297.81;103,246,700
Jul 7, 2025;291.37;296.15;288.77;293.94;293.94;131,177,900
Jul 3, 2025;317.99;318.45;312.76;315.35;315.35;58,042,300
Jul 2, 2025;312.63;316.83;303.82;315.65;315.65;119,483,700
Jul 1, 2025;298.46;305.89;293.21;300.71;300.71;145,085,700
Jun 30, 2025;319.90;325.58;316.60;317.66;317.66;76,695,100
Jun 27, 2025;324.51;329.34;317.50;323.63;323.63;89,067,000
Jun 26, 2025;324.61;331.05;323.61;325.78;325.78;80,440,900
Jun 25, 2025;342.70;343.00;320.40;327.55;327.55;119,845,100
Jun 24, 2025;356.17;356.26;340.44;340.47;340.47;114,736,200
Jun 23, 2025;327.54;357.54;327.48;348.68;348.68;190,716,800
Jun 20, 2025;327.95;332.36;317.78;322.16;322.16;108,688,000
Jun 18, 2025;317.31;329.32;315.45;322.05;322.05;95,137,700
Jun 17, 2025;326.09;327.26;314.74;316.35;316.35;88,282,700
Jun 16, 2025;331.29;332.05;326.41;329.13;329.13;83,925,900
Jun 13, 2025;313.97;332.99;313.30;325.31;325.31;128,964,300
Jun 12, 2025;323.08;332.56;316.86;319.11;319.11;105,127,500
Jun 11, 2025;334.40;335.50;322.50;326.43;326.43;122,611,400
Jun 10, 2025;314.94;327.83;310.67;326.09;326.09;151,256,500
Jun 9, 2025;285.96;309.83;281.85;308.58;308.58;140,908,900
Jun 6, 2025;298.83;305.50;291.14;295.14;295.14;164,747,700
Jun 5, 2025;322.49;324.55;273.21;284.70;284.70;287,499,800
Jun 4, 2025;345.10;345.60;327.33;332.05;332.05;98,912,100
Jun 3, 2025;346.60;355.40;343.04;344.27;344.27;99,324,500
Jun 2, 2025;343.50;348.02;333.33;342.69;342.69;81,873,800
May 30, 2025;355.52;363.68;345.29;346.46;346.46;123,474,900
May 29, 2025;365.29;367.71;356.00;358.43;358.43;88,087,800
May 28, 2025;364.84;365.00;355.91;356.90;356.90;91,404,300
May 27, 2025;347.35;363.79;347.32;362.89;362.89;120,146,400
May 23, 2025;337.92;343.18;333.21;339.34;339.34;84,654,800
May 22, 2025;331.90;347.27;331.39;341.04;341.04;97,113,400
May 21, 2025;344.43;347.35;332.20;334.62;334.62;102,354,800
May 20, 2025;347.87;354.99;341.63;343.82;343.82;131,715,500
May 19, 2025;336.30;343.00;333.37;342.09;342.09;88,869,900
May 16, 2025;346.24;351.62;342.33;349.98;349.98;95,895,700
May 15, 2025;340.34;346.14;334.72;342.82;342.82;97,882,600
May 14, 2025;342.50;350.00;337.00;347.68;347.68;136,997,300
May 13, 2025;320.00;337.59;316.80;334.07;334.07;136,992,600
May 12, 2025;321.99;322.21;311.50;318.38;318.38;112,826,700
May 9, 2025;290.21;307.04;290.00;298.26;298.26;132,387,800
May 8, 2025;279.63;289.80;279.41;284.82;284.82;97,539,400
May 7, 2025;276.88;277.92;271.00;276.22;276.22;71,592,600
May 6, 2025;273.11;277.73;271.35;275.35;275.35;76,715,800
May 5, 2025;284.57;284.85;274.40;280.26;280.26;94,618,900
May 2, 2025;284.90;294.78;279.81;287.21;287.21;114,454,700
May 1, 2025;280.01;290.87;279.81;280.52;280.52;99,659,000
Apr 30, 2025;279.90;284.45;270.78;282.16;282.16;128,961,100
Apr 29, 2025;285.50;293.32;279.47;292.03;292.03;108,906,600
Apr 28, 2025;288.98;294.86;272.42;285.88;285.88;151,731,800
Apr 25, 2025;261.69;286.85;259.63;284.95;284.95;167,560,700
Apr 24, 2025;250.50;259.54;249.20;259.51;259.51;94,464,200
Apr 23, 2025;254.86;259.45;244.43;250.74;250.74;150,381,900
Apr 22, 2025;230.96;242.79;229.85;237.97;237.97;120,858,500
Apr 21, 2025;230.26;232.21;222.79;227.50;227.50;97,768,000
Apr 17, 2025;243.47;244.34;237.68;241.37;241.37;83,404,800
Apr 16, 2025;247.61;251.97;233.89;241.55;241.55;112,378,700
Apr 15, 2025;249.91;258.75;247.54;254.11;254.11;79,594,300
Apr 14, 2025;258.36;261.80;245.93;252.35;252.35;100,135,200
Apr 11, 2025;251.84;257.74;241.36;252.31;252.31;128,948,100
Apr 10, 2025;260.00;262.49;239.33;252.40;252.40;181,722,600
Apr 9, 2025;224.69;274.69;223.88;272.20;272.20;219,433,400
Apr 8, 2025;245.00;250.44;217.80;221.86;221.86;171,603,500
Apr 7, 2025;223.78;252.00;214.25;233.29;233.29;183,453,800
Apr 4, 2025;255.38;261.00;236.00;239.43;239.43;181,229,400
Apr 3, 2025;265.29;276.30;261.51;267.28;267.28;136,174,300
Apr 2, 2025;254.60;284.99;251.27;282.76;282.76;212,787,800
Apr 1, 2025;263.80;277.45;259.25;268.46;268.46;146,486,900
Mar 31, 2025;249.31;260.56;243.36;259.16;259.16;134,008,900
Mar 28, 2025;275.58;276.10;260.57;263.55;263.55;123,809,400
Mar 27, 2025;272.48;291.85;271.82;273.13;273.13;162,572,100
Mar 26, 2025;282.66;284.90;266.51;272.06;272.06;153,629,800
Mar 25, 2025;283.60;288.20;271.28;288.14;288.14;150,361,500
Mar 24, 2025;258.08;278.64;256.33;278.39;278.39;169,079,900
Mar 21, 2025;234.99;249.52;234.55;248.71;248.71;132,728,700
Mar 20, 2025;233.35;238.00;230.05;236.26;236.26;99,028,300
Mar 19, 2025;231.61;241.41;229.20;235.86;235.86;111,993,800
Mar 18, 2025;228.16;230.10;222.28;225.31;225.31;111,477,600
Mar 17, 2025;245.06;245.40;232.80;238.01;238.01;111,900,600
Mar 14, 2025;247.31;251.58;240.73;249.98;249.98;100,242,300
Mar 13, 2025;248.13;248.29;232.60;240.68;240.68;114,813,500
Mar 12, 2025;247.22;251.84;241.10;248.09;248.09;142,215,700
Mar 11, 2025;225.31;237.06;217.02;230.58;230.58;174,896,400
Mar 10, 2025;252.54;253.37;220.00;222.15;222.15;189,076,900
Mar 7, 2025;259.32;266.25;250.73;262.67;262.67;102,369,600
Mar 6, 2025;272.06;272.65;260.02;263.45;263.45;98,451,600
Mar 5, 2025;272.92;279.55;267.71;279.10;279.10;94,042,900
Mar 4, 2025;270.93;284.35;261.84;272.04;272.04;126,706,600
Mar 3, 2025;300.34;303.94;277.30;284.65;284.65;115,551,400
Feb 28, 2025;279.50;293.88;273.60;292.98;292.98;115,697,000
Feb 27, 2025;291.16;297.23;280.88;281.95;281.95;101,748,200
Feb 26, 2025;303.71;309.00;288.04;290.80;290.80;100,118,300
Feb 25, 2025;327.02;328.89;297.25;302.80;302.80;134,228,800
Feb 24, 2025;338.14;342.40;324.70;330.53;330.53;76,052,300
Feb 21, 2025;353.44;354.98;334.42;337.80;337.80;74,058,600
Feb 20, 2025;361.51;362.30;348.00;354.40;354.40;45,965,400
Feb 19, 2025;354.00;367.34;353.67;360.56;360.56;67,094,400
Feb 18, 2025;355.01;359.10;350.02;354.11;354.11;51,631,700
Feb 14, 2025;360.62;362.00;347.50;355.84;355.84;68,277,300
Feb 13, 2025;345.00;358.69;342.85;355.94;355.94;89,441,500
Feb 12, 2025;329.94;346.40;329.12;336.51;336.51;105,382,700
Feb 11, 2025;345.80;349.37;325.10;328.50;328.50;118,543,400
Feb 10, 2025;356.21;362.70;350.51;350.73;350.73;77,514,900
Feb 7, 2025;370.19;380.55;360.34;361.62;361.62;70,298,300
Feb 6, 2025;373.03;375.40;363.18;374.32;374.32;77,918,200
Feb 5, 2025;387.51;388.39;375.53;378.17;378.17;57,223,300
Feb 4, 2025;382.63;394.00;381.40;392.21;392.21;57,072,200
Feb 3, 2025;386.68;389.17;374.36;383.68;383.68;93,732,100
Jan 31, 2025;401.53;419.99;401.34;404.60;404.60;83,283,600
Jan 30, 2025;410.78;412.50;384.41;400.28;400.28;98,092,900
Jan 29, 2025;395.21;398.59;384.48;389.10;389.10;68,033,600
Jan 28, 2025;396.91;400.59;386.50;398.09;398.09;48,910,700
Jan 27, 2025;394.80;406.69;389.00;397.15;397.15;58,125,500
Jan 24, 2025;414.45;418.88;405.78;406.58;406.58;56,427,100
Jan 23, 2025;416.06;420.73;408.95;412.38;412.38;50,690,600
Jan 22, 2025;416.81;428.00;414.59;415.11;415.11;60,963,300
Jan 21, 2025;432.64;433.20;406.31;424.07;424.07;87,320,900
Jan 17, 2025;421.50;439.74;419.75;426.50;426.50;94,991,400
Jan 16, 2025;423.49;424.00;409.13;413.82;413.82;68,335,200
Jan 15, 2025;409.90;429.80;405.66;428.22;428.22;81,375,500
Jan 14, 2025;414.34;422.64;394.54;396.36;396.36;84,565,000
Jan 13, 2025;383.21;403.79;380.07;403.31;403.31;67,580,500
Jan 10, 2025;391.40;399.28;377.29;394.74;394.74;62,287,300
Jan 8, 2025;392.95;402.50;387.40;394.94;394.94;73,038,800
Jan 7, 2025;405.83;414.33;390.00;394.36;394.36;75,699,500
Jan 6, 2025;423.20;426.43;401.70;411.05;411.05;85,516,500
Jan 3, 2025;381.48;411.88;379.45;410.44;410.44;95,423,300
Jan 2, 2025;390.10;392.73;373.04;379.28;379.28;109,710,700
Dec 31, 2024;423.79;427.93;402.54;403.84;403.84;76,825,100
Dec 30, 2024;419.40;427.00;415.75;417.41;417.41;64,941,000
Dec 27, 2024;449.52;450.00;426.50;431.66;431.66;82,666,800
Dec 26, 2024;465.16;465.33;451.02;454.13;454.13;76,366,400
Dec 24, 2024;435.90;462.78;435.14;462.28;462.28;59,551,800
Dec 23, 2024;431.00;434.51;415.41;430.60;430.60;72,698,100
Dec 20, 2024;425.51;447.08;417.64;421.06;421.06;132,216,200
Dec 19, 2024;451.88;456.36;420.02;436.17;436.17;118,566,100
Dec 18, 2024;466.50;488.54;427.01;440.13;440.13;149,340,800
Dec 17, 2024;475.90;483.99;457.51;479.86;479.86;131,223,000
Dec 16, 2024;441.09;463.19;436.15;463.02;463.02;114,083,800
Dec 13, 2024;420.00;436.30;415.71;436.23;436.23;89,000,200
Dec 12, 2024;424.84;429.30;415.00;418.10;418.10;87,752,200
Dec 11, 2024;409.70;424.88;402.38;424.77;424.77;104,287,600
Dec 10, 2024;392.68;409.73;390.85;400.99;400.99;97,563,600
Dec 9, 2024;397.61;404.80;378.01;389.79;389.79;96,359,200
Dec 6, 2024;377.42;389.49;370.80;389.22;389.22;81,455,800
Dec 5, 2024;359.87;375.43;359.50;369.49;369.49;81,403,600
Dec 4, 2024;353.00;358.10;348.60;357.93;357.93;50,810,900
Dec 3, 2024;351.80;355.69;348.20;351.42;351.42;58,267,200
Dec 2, 2024;352.38;360.00;351.15;357.09;357.09;77,986,500
Nov 29, 2024;336.08;345.45;334.65;345.16;345.16;37,167,600
Nov 27, 2024;341.80;342.55;326.59;332.89;332.89;57,896,400
Nov 26, 2024;341.00;346.96;335.66;338.23;338.23;62,295,900
Nov 25, 2024;360.14;361.93;338.20;338.59;338.59;95,890,900
Nov 22, 2024;341.09;361.53;337.70;352.56;352.56;89,140,700
Nov 21, 2024;343.81;347.99;335.28;339.64;339.64;58,011,700
Nov 20, 2024;345.00;346.60;334.30;342.03;342.03;66,340,700
Nov 19, 2024;335.76;347.38;332.75;346.00;346.00;88,852,500
Nov 18, 2024;340.73;348.55;330.01;338.74;338.74;126,085,600
Nov 15, 2024;310.57;324.68;309.22;320.72;320.72;114,440,300
Nov 14, 2024;327.69;329.98;310.37;311.18;311.18;120,726,100
Nov 13, 2024;335.85;344.60;322.50;330.24;330.24;125,405,600
Nov 12, 2024;342.74;345.84;323.31;328.49;328.49;155,726,000
Nov 11, 2024;346.30;358.64;336.00;350.00;350.00;210,521,600
Nov 8, 2024;299.14;328.71;297.66;321.22;321.22;204,782,800
Nov 7, 2024;288.89;299.75;285.52;296.91;296.91;117,309,200
Nov 6, 2024;284.67;289.59;275.62;288.53;288.53;165,228,700
Nov 5, 2024;247.34;255.28;246.21;251.44;251.44;69,282,500
Nov 4, 2024;244.56;248.90;238.88;242.84;242.84;68,802,400
Nov 1, 2024;252.04;254.00;246.63;248.98;248.98;57,544,800
Oct 31, 2024;257.99;259.75;249.25;249.85;249.85;66,575,300
Oct 30, 2024;258.04;263.35;255.82;257.55;257.55;53,993,600
Oct 29, 2024;264.51;264.98;255.51;259.52;259.52;80,521,800
Oct 28, 2024;270.00;273.54;262.24;262.51;262.51;107,653,600
Oct 25, 2024;256.01;269.49;255.32;269.19;269.19;161,611,900
Oct 24, 2024;244.68;262.12;242.65;260.48;260.48;204,491,900
Oct 23, 2024;217.13;218.72;212.11;213.65;213.65;80,938,900
Oct 22, 2024;217.31;218.22;215.26;217.97;217.97;43,268,700
Oct 21, 2024;218.90;220.48;215.73;218.85;218.85;47,329,000
Oct 18, 2024;220.71;222.28;219.23;220.70;220.70;49,611,900
Oct 17, 2024;221.59;222.08;217.90;220.89;220.89;50,791,800
Oct 16, 2024;221.40;222.82;218.93;221.33;221.33;49,632,800
Oct 15, 2024;220.01;224.26;217.12;219.57;219.57;62,988,800
Oct 14, 2024;220.13;221.91;213.74;219.16;219.16;86,291,900
Oct 11, 2024;220.13;223.34;214.38;217.80;217.80;142,628,900
Oct 10, 2024;241.81;242.79;232.34;238.77;238.77;83,087,100
Oct 9, 2024;243.82;247.43;239.51;241.05;241.05;66,289,500
Oct 8, 2024;243.56;246.21;240.56;244.50;244.50;56,303,200
Oct 7, 2024;249.00;249.83;240.70;240.83;240.83;68,113,300
Oct 4, 2024;246.69;250.96;244.58;250.08;250.08;86,573,200
Oct 3, 2024;244.48;249.79;237.81;240.66;240.66;80,729,200
Oct 2, 2024;247.55;251.16;241.50;249.02;249.02;93,983,900
Oct 1, 2024;262.67;263.98;248.53;258.02;258.02;87,397,600
Sep 30, 2024;259.04;264.86;255.77;261.63;261.63;80,705,700
Sep 27, 2024;257.38;260.70;254.12;260.46;260.46;70,988,100
Sep 26, 2024;260.60;261.75;251.53;254.22;254.22;67,142,200
Sep 25, 2024;252.54;257.05;252.28;257.02;257.02;65,034,300
Sep 24, 2024;254.08;257.19;249.05;254.27;254.27;88,491,000
Sep 23, 2024;242.61;250.00;241.92;250.00;250.00;86,927,200
Sep 20, 2024;241.52;243.99;235.92;238.25;238.25;99,879,100
Sep 19, 2024;234.00;244.24;232.13;243.92;243.92;102,694,600
Sep 18, 2024;230.09;235.68;226.88;227.20;227.20;78,010,200
Sep 17, 2024;229.45;234.57;226.55;227.87;227.87;66,761,600
Sep 16, 2024;229.30;229.96;223.53;226.78;226.78;54,323,000
Sep 13, 2024;228.00;232.67;226.32;230.29;230.29;59,515,100
